account_id,name,industry,employee_count,region,created_at
acct_0082,Pinepoint Retail,SaaS,120,NA,2024-04-17T00:00:00Z
acct_0083,Aspenline Dynamics,Fintech,120,EMEA,2022-02-07T00:00:00Z
acct_0084,Onyxshore Dynamics,Healthcare,500,LATAM,2022-01-24T00:00:00Z
acct_0085,Quantloop Works,EdTech,50,LATAM,2024-05-13T00:00:00Z
acct_0086,Birchpoint Dynamics,Manufacturing,240,EMEA,2021-02-25T00:00:00Z
acct_0087,Cedarriver Industries,Manufacturing,1200,LATAM,2020-08-13T00:00:00Z
acct_0088,Copperwave Systems,Manufacturing,240,LATAM,2023-06-26T00:00:00Z
acct_0089,Harborstone Group,EdTech,3000,NA,2022-09-11T00:00:00Z
acct_0090,Novagrove Health,Healthcare,240,NA,2024-03-07T00:00:00Z
acct_0091,Quantshore Retail,Fintech,3000,LATAM,2022-06-11T00:00:00Z
acct_0092,Onyxgrove Robotics,EdTech,3000,APAC,2020-12-25T00:00:00Z
acct_0093,Cobaltvale Robotics,SaaS,1200,EMEA,2020-05-25T00:00:00Z
acct_0094,Ironwave Health,SaaS,3000,LATAM,2023-04-27T00:00:00Z
acct_0095,Falconwave Health,Energy,3000,EMEA,2021-05-27T00:00:00Z
acct_0096,Birchspark Capital,Media,500,EMEA,2023-01-26T00:00:00Z
acct_0097,Onyxwind Networks,Fintech,3000,APAC,2024-08-03T00:00:00Z
acct_0098,Crestvale Dynamics,Manufacturing,3000,EMEA,2021-10-30T00:00:00Z
acct_0099,Northline Works,Real Estate,120,NA,2024-07-22T00:00:00Z
acct_0100,Cedarwave Group,Real Estate,3000,EMEA,2025-05-24T00:00:00Z
acct_0101,Novagate Foods,Healthcare,3000,EMEA,2020-10-16T00:00:00Z
acct_0102,Ironpeak Dynamics,Fintech,25,APAC,2023-11-21T00:00:00Z
acct_0103,Orbitline Analytics,Real Estate,1200,NA,2020-05-30T00:00:00Z
acct_0104,Cobaltwind Industries,Energy,1200,LATAM,2024-12-08T00:00:00Z
acct_0105,Ridgewave Analytics,Real Estate,500,APAC,2025-04-18T00:00:00Z
acct_0106,Pineline Foods,Healthcare,240,EMEA,2021-07-29T00:00:00Z
acct_0107,Ridgestone Retail,Logistics,3000,LATAM,2024-03-26T00:00:00Z
acct_0108,Cobaltfork Systems,SaaS,500,LATAM,2022-06-15T00:00:00Z
acct_0109,Atlasloop Networks,Energy,50,APAC,2023-08-18T00:00:00Z
acct_0110,Novavale Dynamics,Manufacturing,240,NA,2022-04-13T00:00:00Z
acct_0111,Onyxwind Retail,Manufacturing,240,NA,2023-05-21T00:00:00Z
acct_0112,Ridgepoint Software,Logistics,1200,EMEA,2024-10-22T00:00:00Z
acct_0113,Silverpeak Group,Media,1200,LATAM,2021-03-19T00:00:00Z
acct_0114,Maplegate Dynamics,Logistics,1200,LATAM,2025-05-01T00:00:00Z
acct_0115,Pineloop Systems,Media,1200,LATAM,2024-01-26T00:00:00Z
acct_0116,Granitepoint Health,Manufacturing,500,NA,2022-10-31T00:00:00Z
acct_0117,Cobaltwind Foods,SaaS,3000,EMEA,2021-12-12T00:00:00Z
acct_0118,Novapoint Media,Fintech,120,LATAM,2022-05-17T00:00:00Z
acct_0119,Harborgrove Logistics,Manufacturing,120,LATAM,2022-04-15T00:00:00Z
acct_0120,Quantfield Media,Logistics,120,EMEA,2024-04-12T00:00:00Z
acct_0121,Bluestone Robotics,Media,1200,NA,2023-07-22T00:00:00Z
acct_0122,Aspenriver Industries,Manufacturing,120,LATAM,2021-05-05T00:00:00Z
acct_0123,Cedarvale Industries,Retail,240,LATAM,2024-11-19T00:00:00Z
acct_0124,Birchfield Works,Logistics,50,NA,2024-08-30T00:00:00Z
acct_0125,Novabridge Analytics,Fintech,50,EMEA,2023-02-23T00:00:00Z
acct_0126,Deltaline Capital,SaaS,3000,LATAM,2022-01-29T00:00:00Z
acct_0127,Aspenloop Dynamics,Logistics,25,EMEA,2025-03-21T00:00:00Z
acct_0128,Graniteriver Health,Fintech,25,LATAM,2023-02-13T00:00:00Z
acct_0129,Birchgrove Dynamics,Logistics,120,LATAM,2022-07-14T00:00:00Z
acct_0130,Atlasgate Logistics,Fintech,1200,EMEA,2021-02-06T00:00:00Z
acct_0131,Falconloop Logistics,Fintech,3000,LATAM,2022-09-11T00:00:00Z
acct_0132,Ridgewave Retail,Retail,240,NA,2021-04-29T00:00:00Z
acct_0133,Ridgegate Industries,Media,500,APAC,2020-12-23T00:00:00Z
acct_0134,Ironstone Systems,Healthcare,1200,NA,2023-12-10T00:00:00Z
acct_0135,Ridgevale Media,Retail,50,APAC,2023-09-06T00:00:00Z
acct_0136,Crestline Works,Energy,25,LATAM,2024-04-02T00:00:00Z
acct_0137,Orbitgrove Networks,EdTech,120,APAC,2020-10-10T00:00:00Z
acct_0138,Silvershore Industries,Logistics,500,EMEA,2023-12-24T00:00:00Z
acct_0139,Deltapoint Group,EdTech,120,EMEA,2023-06-04T00:00:00Z
acct_0140,Quantshore Logistics,Real Estate,500,EMEA,2022-03-08T00:00:00Z
acct_0141,Harborriver Logistics,Healthcare,500,EMEA,2022-03-22T00:00:00Z
acct_0142,Bluepeak Networks,SaaS,1200,EMEA,2021-01-17T00:00:00Z
acct_0143,Pinewind Capital,Logistics,50,EMEA,2022-09-21T00:00:00Z
acct_0144,Silverspark Works,Real Estate,240,APAC,2023-07-22T00:00:00Z
acct_0145,Falcongrove Group,Logistics,3000,APAC,2023-11-28T00:00:00Z
acct_0146,Orbitgate Health,Energy,25,LATAM,2021-04-23T00:00:00Z
acct_0147,Cobaltpeak Media,Fintech,50,NA,2022-04-05T00:00:00Z
acct_0148,Northloop Media,Manufacturing,50,APAC,2022-01-11T00:00:00Z
acct_0149,Deltastone Dynamics,Fintech,25,NA,2023-10-13T00:00:00Z
acct_0150,Onyxpeak Dynamics,Retail,50,APAC,2020-09-28T00:00:00Z
acct_0151,Ridgeriver Works,Fintech,50,NA,2022-11-08T00:00:00Z
acct_0152,Maplespark Analytics,SaaS,240,EMEA,2021-01-04T00:00:00Z
acct_0153,Silverpoint Dynamics,Fintech,120,LATAM,2021-12-14T00:00:00Z
acct_0154,Quantpeak Group,Real Estate,1200,NA,2024-07-06T00:00:00Z
acct_0155,Cedarfork Networks,Healthcare,240,LATAM,2025-03-20T00:00:00Z
acct_0156,Maplefield Health,Fintech,500,LATAM,2024-09-26T00:00:00Z
acct_0157,Crestgate Media,Real Estate,240,EMEA,2023-07-08T00:00:00Z
acct_0158,Atlasriver Dynamics,EdTech,50,APAC,2024-01-13T00:00:00Z
acct_0159,Crestwind Group,Real Estate,120,NA,2021-10-20T00:00:00Z
acct_0160,Quantspark Foods,SaaS,1200,EMEA,2023-02-21T00:00:00Z
acct_0161,Summitpoint Dynamics,Energy,500,NA,2022-10-07T00:00:00Z
acct_0162,Irongrove Group,Retail,240,LATAM,2021-03-09T00:00:00Z
acct_0163,Northwave Industries,Manufacturing,240,LATAM,2020-09-13T00:00:00Z
acct_0164,Summitpeak Analytics,Media,3000,LATAM,2024-09-28T00:00:00Z
acct_0165,Vertexbridge Group,Real Estate,25,APAC,2022-06-16T00:00:00Z
acct_0166,Birchwave Networks,EdTech,240,LATAM,2025-04-07T00:00:00Z
acct_0167,Aspenvale Systems,Retail,25,APAC,2021-05-02T00:00:00Z
acct_0168,Summitpoint Retail,Real Estate,240,LATAM,2022-01-19T00:00:00Z
acct_0169,Novashore Foods,Retail,3000,APAC,2020-06-14T00:00:00Z
acct_0170,Atlaspeak Foods,Real Estate,25,EMEA,2024-09-14T00:00:00Z
acct_0171,Northwave Dynamics,Energy,50,LATAM,2025-02-09T00:00:00Z
acct_0172,Vertexshore Software,Energy,1200,NA,2022-06-14T00:00:00Z
acct_0173,Copperspark Retail,Healthcare,500,APAC,2021-09-19T00:00:00Z
acct_0174,Quantstone Group,Media,50,NA,2021-04-21T00:00:00Z
acct_0175,Deltawind Robotics,Retail,3000,LATAM,2022-03-29T00:00:00Z
acct_0176,Ironloop Dynamics,Fintech,50,LATAM,2022-03-23T00:00:00Z
acct_0177,Deltapoint Health,Logistics,25,NA,2022-06-27T00:00:00Z
acct_0178,Harborgate Analytics,Fintech,25,LATAM,2025-05-25T00:00:00Z
acct_0179,Crestriver Robotics,Manufacturing,50,APAC,2025-04-08T00:00:00Z
acct_0180,Ridgespark Media,Retail,50,NA,2022-12-06T00:00:00Z
acct_0181,Vertexloop Dynamics,Energy,3000,LATAM,2024-08-10T00:00:00Z
acct_0182,Maplestone Systems,Retail,1200,EMEA,2025-02-22T00:00:00Z
acct_0183,Silverbridge Industries,Manufacturing,25,LATAM,2023-08-23T00:00:00Z
acct_0184,Summitwind Foods,Manufacturing,120,LATAM,2024-08-06T00:00:00Z
acct_0185,Onyxwave Works,Energy,50,EMEA,2023-09-30T00:00:00Z
acct_0186,Harborbridge Robotics,SaaS,50,APAC,2020-09-13T00:00:00Z
acct_0187,Quantloop Analytics,Retail,240,NA,2024-06-08T00:00:00Z
acct_0188,Ridgefield Retail,EdTech,50,EMEA,2024-04-29T00:00:00Z
acct_0189,Deltagrove Dynamics,SaaS,1200,NA,2023-09-08T00:00:00Z
acct_0190,Cobaltgate Retail,Retail,120,LATAM,2021-05-27T00:00:00Z
acct_0191,Birchwind Group,Fintech,120,LATAM,2023-01-27T00:00:00Z
acct_0192,Falcongate Works,Logistics,50,EMEA,2020-07-27T00:00:00Z
acct_0193,Harborvale Retail,Manufacturing,25,EMEA,2023-11-23T00:00:00Z
acct_0194,Deltawave Dynamics,Fintech,1200,EMEA,2022-08-04T00:00:00Z
acct_0195,Onyxloop Logistics,Manufacturing,3000,APAC,2023-04-25T00:00:00Z
acct_0196,Summitline Health,EdTech,25,EMEA,2023-09-18T00:00:00Z
acct_0197,Harborpoint Media,Fintech,1200,EMEA,2023-11-07T00:00:00Z
acct_0198,Deltagate Software,Fintech,1200,NA,2022-10-22T00:00:00Z
acct_0199,Onyxfield Labs,Logistics,240,NA,2022-06-04T00:00:00Z
